run,scorer,hidden_dim,num_layers,n_params,step,total_steps,perturbed_gap,served_all_rate,n_serving,n_val_instances,is_new_best
L1_H32,gnn,32,1,4801,1000,10000,-0.040534,1.000000,197,200,1
L1_H32,gnn,32,1,4801,2000,10000,0.001411,1.000000,197,200,1
L1_H32,gnn,32,1,4801,3000,10000,-0.023048,1.000000,197,200,0
L1_H32,gnn,32,1,4801,4000,10000,-0.029032,1.000000,197,200,0
L1_H32,gnn,32,1,4801,5000,10000,0.033907,1.000000,197,200,1
L1_H32,gnn,32,1,4801,6000,10000,-0.019129,1.000000,197,200,0
L1_H32,gnn,32,1,4801,7000,10000,0.005427,1.000000,197,200,0
L1_H32,gnn,32,1,4801,8000,10000,-0.017790,1.000000,197,200,0
L1_H32,gnn,32,1,4801,9000,10000,0.017730,1.000000,197,200,0
L1_H32,gnn,32,1,4801,10000,10000,-0.009757,1.000000,197,200,0
L1_H64,gnn,64,1,17793,1000,10000,-0.035775,1.000000,197,200,1
L1_H64,gnn,64,1,17793,2000,10000,0.037635,1.000000,197,200,1
L1_H64,gnn,64,1,17793,3000,10000,0.024553,1.000000,197,200,0
L1_H64,gnn,64,1,17793,4000,10000,0.038366,1.000000,197,200,1
L1_H64,gnn,64,1,17793,5000,10000,0.035899,1.000000,197,200,0
L1_H64,gnn,64,1,17793,6000,10000,0.042794,1.000000,197,200,1
L1_H64,gnn,64,1,17793,7000,10000,0.009438,1.000000,197,200,0
L1_H64,gnn,64,1,17793,8000,10000,0.042073,1.000000,197,200,0
L1_H64,gnn,64,1,17793,9000,10000,0.052831,1.000000,197,200,1
L1_H64,gnn,64,1,17793,10000,10000,0.037115,1.000000,197,200,0
L1_H128,gnn,128,1,68353,1000,10000,-0.073034,1.000000,197,200,1
L1_H128,gnn,128,1,68353,2000,10000,0.013276,1.000000,197,200,1
L1_H128,gnn,128,1,68353,3000,10000,0.018105,1.000000,197,200,1
L1_H128,gnn,128,1,68353,4000,10000,0.001852,1.000000,197,200,0
L1_H128,gnn,128,1,68353,5000,10000,0.030508,1.000000,197,200,1
L1_H128,gnn,128,1,68353,6000,10000,0.073320,1.000000,197,200,1
L1_H128,gnn,128,1,68353,7000,10000,0.018502,1.000000,197,200,0
L1_H128,gnn,128,1,68353,8000,10000,0.053991,1.000000,197,200,0
L1_H128,gnn,128,1,68353,9000,10000,0.050958,1.000000,197,200,0
L1_H128,gnn,128,1,68353,10000,10000,0.056428,1.000000,197,200,0
L2_H32,gnn,32,2,6881,1000,10000,-0.053264,1.000000,197,200,1
L2_H32,gnn,32,2,6881,2000,10000,-0.047636,1.000000,197,200,1
L2_H32,gnn,32,2,6881,3000,10000,-0.020264,1.000000,197,200,1
L2_H32,gnn,32,2,6881,4000,10000,-0.055212,1.000000,197,200,0
L2_H32,gnn,32,2,6881,5000,10000,-0.070763,1.000000,197,200,0
L2_H32,gnn,32,2,6881,6000,10000,-0.022914,1.000000,197,200,0
L2_H32,gnn,32,2,6881,7000,10000,-0.035078,1.000000,197,200,0
L2_H32,gnn,32,2,6881,8000,10000,-0.026626,1.000000,197,200,0
L2_H32,gnn,32,2,6881,9000,10000,-0.021176,1.000000,197,200,0
L2_H32,gnn,32,2,6881,10000,10000,-0.033246,1.000000,197,200,0
L2_H64,gnn,64,2,26049,1000,10000,-0.031297,1.000000,197,200,1
L2_H64,gnn,64,2,26049,2000,10000,-0.065278,1.000000,197,200,0
L2_H64,gnn,64,2,26049,3000,10000,-0.012203,1.000000,197,200,1
L2_H64,gnn,64,2,26049,4000,10000,-0.001777,1.000000,197,200,1
L2_H64,gnn,64,2,26049,1000,10000,-0.031297,1.000000,197,200,1
