run,scorer,hidden_dim,num_layers,n_params,step,total_steps,perturbed_gap,served_all_rate,n_serving,n_val_instances,is_new_best
e030,gnn,64,2,26049,1000,10000,-0.059675,1.000000,197,200,1
e030,gnn,64,2,26049,2000,10000,-0.051468,1.000000,197,200,1
e030,gnn,64,2,26049,3000,10000,-0.024245,1.000000,197,200,1
e030,gnn,64,2,26049,4000,10000,-0.000701,1.000000,197,200,1
e030,gnn,64,2,26049,5000,10000,-0.019783,1.000000,197,200,0
e030,gnn,64,2,26049,6000,10000,0.043382,1.000000,197,200,1
e030,gnn,64,2,26049,7000,10000,0.003012,1.000000,197,200,0
e030,gnn,64,2,26049,8000,10000,0.018401,1.000000,197,200,0
e030,gnn,64,2,26049,9000,10000,0.010007,1.000000,197,200,0
e030,gnn,64,2,26049,10000,10000,0.026336,1.000000,197,200,0
