arm,log,step,total_steps,hard_gap_vs_milp,served_all_rate,n_val
production,sweep_G_v4warmstart.log,25,1000,0.2668,1.000,200
production,sweep_G_v4warmstart.log,50,1000,0.2706,1.000,200
production,sweep_G_v4warmstart.log,75,1000,0.3036,1.000,200
production,sweep_G_v4warmstart.log,100,1000,0.3201,1.000,200
production,sweep_G_v4warmstart.log,125,1000,0.3224,1.000,200
production,sweep_G_v4warmstart.log,150,1000,0.3302,1.000,200
production,sweep_G_v4warmstart.log,175,1000,0.3410,1.000,200
production,sweep_G_v4warmstart.log,200,1000,0.3546,1.000,200
production,sweep_G_v4warmstart.log,225,1000,0.3651,1.000,200
production,sweep_G_v4warmstart.log,250,1000,0.3856,1.000,200
production,sweep_G_v4warmstart.log,275,1000,0.3849,1.000,200
production,sweep_G_v4warmstart.log,300,1000,0.3839,1.000,200
production,sweep_G_v4warmstart.log,325,1000,0.4060,1.000,200
production,sweep_G_v4warmstart.log,350,1000,0.3966,1.000,200
production,sweep_G_v4warmstart.log,375,1000,0.4151,1.000,200
production,sweep_G_v4warmstart.log,400,1000,0.3881,1.000,200
production,sweep_G_v4warmstart.log,425,1000,0.4332,1.000,200
production,sweep_G_v4warmstart.log,450,1000,0.4687,1.000,200
production,sweep_G_v4warmstart.log,475,1000,0.4829,1.000,200
production,sweep_G_v4warmstart.log,500,1000,0.4945,1.000,200
production,sweep_G_v4warmstart.log,525,1000,0.4945,1.000,200
production,sweep_G_v4warmstart.log,550,1000,0.4991,1.000,200
production,sweep_G_v4warmstart.log,575,1000,0.4957,1.000,200
production,sweep_G_v4warmstart.log,600,1000,0.5039,1.000,200
production,sweep_G_v4warmstart.log,625,1000,0.5071,1.000,200
production,sweep_G_v4warmstart.log,650,1000,0.5006,1.000,200
production,sweep_G_v4warmstart.log,675,1000,0.5090,1.000,200
production,sweep_G_v4warmstart.log,700,1000,0.5037,1.000,200
production,sweep_G_v4warmstart.log,725,1000,0.5094,1.000,200
production,sweep_G_v4warmstart.log,750,1000,0.5280,1.000,200
production,sweep_G_v4warmstart.log,775,1000,0.5157,1.000,200
production,sweep_G_v4warmstart.log,800,1000,0.5044,1.000,200
production,sweep_G_v4warmstart.log,825,1000,0.5126,1.000,200
production,sweep_G_v4warmstart.log,850,1000,0.5219,1.000,200
production,sweep_G_v4warmstart.log,875,1000,0.5146,1.000,200
production,sweep_G_v4warmstart.log,900,1000,0.5078,1.000,200
production,sweep_G_v4warmstart.log,925,1000,0.5071,1.000,200
production,sweep_G_v4warmstart.log,950,1000,0.4993,1.000,200
production,sweep_G_v4warmstart.log,975,1000,0.5097,1.000,200
production,sweep_G_v4warmstart.log,1000,1000,0.5219,1.000,200
production_replicate,overnight_s3_archwinner.log,25,400,0.2662,1.000,200
production_replicate,overnight_s3_archwinner.log,50,400,0.2352,1.000,200
production_replicate,overnight_s3_archwinner.log,75,400,0.2868,1.000,200
production_replicate,overnight_s3_archwinner.log,100,400,0.3102,1.000,200
production_replicate,overnight_s3_archwinner.log,125,400,0.3252,1.000,200
production_replicate,overnight_s3_archwinner.log,150,400,0.3418,1.000,200
production_replicate,overnight_s3_archwinner.log,175,400,0.3375,1.000,200
production_replicate,overnight_s3_archwinner.log,200,400,0.3675,1.000,200
production_replicate,overnight_s3_archwinner.log,225,400,0.3761,1.000,200
production_replicate,overnight_s3_archwinner.log,250,400,0.3642,1.000,200
production_replicate,overnight_s3_archwinner.log,275,400,0.3747,1.000,200
production_replicate,overnight_s3_archwinner.log,300,400,0.3805,1.000,200
production_replicate,overnight_s3_archwinner.log,325,400,0.3997,1.000,200
production_replicate,overnight_s3_archwinner.log,350,400,0.4102,1.000,200
production_replicate,overnight_s3_archwinner.log,375,400,0.3720,1.000,200
production_replicate,overnight_s3_archwinner.log,400,400,0.4447,1.000,200
epsilon_endpoint_035,overnight_s4_eps035.log,25,400,0.2704,1.000,200
epsilon_endpoint_035,overnight_s4_eps035.log,50,400,0.2926,1.000,200
epsilon_endpoint_035,overnight_s4_eps035.log,75,400,0.2924,1.000,200
epsilon_endpoint_035,overnight_s4_eps035.log,100,400,0.3148,1.000,200
epsilon_endpoint_035,overnight_s4_eps035.log,125,400,0.3368,1.000,200
