step,total_steps,hard_gap_vs_milp,gap_closure_pct,served_all_rate,n_val
25,1000,0.2668,26.68,1.000,200
50,1000,0.2706,27.060000000000002,1.000,200
75,1000,0.3036,30.36,1.000,200
100,1000,0.3201,32.01,1.000,200
125,1000,0.3224,32.24,1.000,200
150,1000,0.3302,33.019999999999996,1.000,200
175,1000,0.3410,34.1,1.000,200
200,1000,0.3546,35.46,1.000,200
225,1000,0.3651,36.51,1.000,200
250,1000,0.3856,38.56,1.000,200
275,1000,0.3849,38.49,1.000,200
300,1000,0.3839,38.39,1.000,200
325,1000,0.4060,40.6,1.000,200
350,1000,0.3966,39.660000000000004,1.000,200
375,1000,0.4151,41.510000000000005,1.000,200
400,1000,0.3881,38.81,1.000,200
425,1000,0.4332,43.32,1.000,200
450,1000,0.4687,46.87,1.000,200
475,1000,0.4829,48.29,1.000,200
500,1000,0.4945,49.45,1.000,200
525,1000,0.4945,49.45,1.000,200
550,1000,0.4991,49.91,1.000,200
575,1000,0.4957,49.57,1.000,200
600,1000,0.5039,50.39,1.000,200
625,1000,0.5071,50.71,1.000,200
650,1000,0.5006,50.06,1.000,200
675,1000,0.5090,50.9,1.000,200
700,1000,0.5037,50.370000000000005,1.000,200
725,1000,0.5094,50.94,1.000,200
750,1000,0.5280,52.800000000000004,1.000,200
775,1000,0.5157,51.57000000000001,1.000,200
800,1000,0.5044,50.44,1.000,200
825,1000,0.5126,51.25999999999999,1.000,200
850,1000,0.5219,52.190000000000005,1.000,200
875,1000,0.5146,51.459999999999994,1.000,200
900,1000,0.5078,50.78,1.000,200
925,1000,0.5071,50.71,1.000,200
950,1000,0.4993,49.93,1.000,200
975,1000,0.5097,50.970000000000006,1.000,200
1000,1000,0.5219,52.190000000000005,1.000,200
