run,scorer,hidden_dim,num_layers,n_params,step,total_steps,perturbed_gap,served_all_rate,n_serving,n_val_instances,is_new_best
lr5e5,gnn,64,2,26049,1000,10000,-0.098715,1.000000,197,200,1
lr5e5,gnn,64,2,26049,2000,10000,-0.025798,1.000000,197,200,1
lr5e5,gnn,64,2,26049,3000,10000,-0.022253,1.000000,197,200,1
lr5e5,gnn,64,2,26049,4000,10000,-0.058749,1.000000,197,200,0
lr5e5,gnn,64,2,26049,5000,10000,-0.044961,1.000000,197,200,0
lr5e5,gnn,64,2,26049,6000,10000,-0.005972,1.000000,197,200,1
lr5e5,gnn,64,2,26049,7000,10000,-0.044595,1.000000,197,200,0
lr5e5,gnn,64,2,26049,8000,10000,-0.047560,1.000000,197,200,0
lr5e5,gnn,64,2,26049,9000,10000,-0.041398,1.000000,197,200,0
lr5e5,gnn,64,2,26049,10000,10000,-0.034386,1.000000,197,200,0
lr5e4,gnn,64,2,26049,1000,10000,-0.031297,1.000000,197,200,1
lr5e4,gnn,64,2,26049,2000,10000,-0.034624,1.000000,197,200,0
lr5e4,gnn,64,2,26049,3000,10000,-0.023394,1.000000,197,200,1
lr5e4,gnn,64,2,26049,4000,10000,-0.041472,1.000000,197,200,0
lr5e4,gnn,64,2,26049,5000,10000,-0.018578,1.000000,197,200,1
lr5e4,gnn,64,2,26049,6000,10000,0.044563,1.000000,197,200,1
lr5e4,gnn,64,2,26049,7000,10000,0.077723,1.000000,197,200,1
lr5e4,gnn,64,2,26049,8000,10000,0.046316,1.000000,197,200,0
lr5e4,gnn,64,2,26049,9000,10000,0.001097,1.000000,197,200,0
lr5e4,gnn,64,2,26049,10000,10000,0.026722,1.000000,197,200,0
lr5e3,gnn,64,2,26049,1000,10000,-0.037374,1.000000,197,200,1
lr5e3,gnn,64,2,26049,2000,10000,-0.035773,1.000000,197,200,1
lr5e3,gnn,64,2,26049,3000,10000,-0.052474,1.000000,197,200,0
lr5e3,gnn,64,2,26049,4000,10000,-0.040532,1.000000,197,200,0
lr5e3,gnn,64,2,26049,5000,10000,-0.100987,1.000000,197,200,0
lr5e3,gnn,64,2,26049,6000,10000,-0.028247,1.000000,197,200,1
lr5e3,gnn,64,2,26049,7000,10000,-0.014699,1.000000,197,200,1
lr5e3,gnn,64,2,26049,8000,10000,-0.036584,1.000000,197,200,0
lr5e3,gnn,64,2,26049,9000,10000,-0.009200,1.000000,197,200,1
lr5e3,gnn,64,2,26049,10000,10000,-0.022611,1.000000,197,200,0
eps060,gnn,64,2,26049,1000,10000,-0.057731,1.000000,197,200,1
