step,total_steps,loss,grad_norm,epsilon,fy_true
500,10000,0.0298,0.6416,0.8586,4.5787
1000,10000,-0.1590,0.4723,0.7370,3.3563
1500,10000,0.1336,0.2544,0.6326,2.8380
2000,10000,-0.0074,0.2096,0.5429,2.3703
2500,10000,-0.0122,0.1305,0.4660,1.8754
3000,10000,0.0207,0.2513,0.4000,1.9290
3500,10000,0.0482,0.3837,0.4000,1.8436
4000,10000,0.2092,0.3394,0.4000,1.8434
4500,10000,0.0592,0.1870,0.4000,1.9397
5000,10000,-0.2589,1.0479,0.4000,2.0443
5500,10000,-0.0085,0.2974,0.4000,1.9827
6000,10000,-0.0287,0.1745,0.4000,2.0417
6500,10000,0.0194,0.1955,0.4000,1.6325
7000,10000,0.0109,0.3094,0.4000,1.7564
7500,10000,-0.0752,0.3710,0.4000,1.8954
8000,10000,-0.0910,0.5545,0.4000,1.8983
8500,10000,-0.1568,0.3068,0.4000,1.9700
9000,10000,0.0373,0.5101,0.4000,1.5791
9500,10000,0.0286,0.2496,0.4000,1.9316
10000,10000,0.0936,0.4028,0.4000,2.0967
