scale,R,T,budget_seconds,seed,cost,served_all,frac_served,n_unserved,n_window_solves,n_models_built,n_time_limit,n_no_incumbent,n_fallbacks,mean_solve_s,max_solve_s,mean_build_s,max_build_s,mean_total_per_decision_s,mean_window,max_window,total_solver_seconds,wall_seconds
"R=10,T=30",10,30,0.05,96000,187.78067272732065,1,1.0,0,30,30,23,0,0,0.04314236640930176,0.053334951400756836,0.016615018103038892,0.04612787504447624,0.059938038875892136,7.366666666666666,15,1.7981411662767641,1.8495393749908544
"R=10,T=30",10,30,0.05,96001,212.06942558542084,1,1.0,0,32,32,23,0,0,0.0387548953294754,0.054444074630737305,0.013452653529384406,0.043077750015072525,0.052329626285427366,6.75,14,1.6745480411336757,1.7213958749780431
"R=10,T=30",10,30,0.05,96002,266.98152526993005,1,1.0,0,42,42,33,0,0,0.04120268140520368,0.05536818504333496,0.020587213330491932,0.06207279098453,0.061958261024084915,8.595238095238095,19,2.6022469630115665,2.689177041989751
"R=10,T=30",10,30,0.05,96003,167.97113849753987,1,1.0,0,36,36,16,0,0,0.02532517910003662,0.05878782272338867,0.00811483796860557,0.03133674996206537,0.033520738222351715,4.472222222222222,13,1.2067465760046616,1.240229124960024
"R=10,T=30",10,30,0.05,96004,223.56344226414166,1,1.0,0,42,42,21,0,0,0.02789143721262614,0.05386495590209961,0.010612469289862063,0.035356625041458756,0.038599238194625025,5.380952380952381,14,1.621168004174251,1.6695661669946276
"R=10,T=30",10,30,0.05,96005,199.2551051366092,1,1.0,0,33,33,19,0,0,0.035151062589703186,0.0567779541015625,0.014172314371645563,0.03538108296925202,0.049453066887729095,6.848484848484849,13,1.6319512072950602,1.680793791951146
"R=10,T=30",10,30,0.05,96006,178.6731949442,1,1.0,0,29,29,21,0,0,0.039532258592802905,0.0612330436706543,0.013277781687692964,0.03602141694864258,0.05293174868987488,6.758620689655173,14,1.5350207120063715,1.5774646670324728
"R=10,T=30",10,30,0.05,96007,204.19944096352353,1,1.0,0,35,35,22,0,0,0.033653150285993305,0.05048084259033203,0.013719196487883372,0.043409916979726404,0.04749640248815662,6.457142857142857,15,1.6623740870854817,1.7124596660141833
"R=10,T=30",10,30,0.05,96008,138.1292610877589,1,1.0,0,24,24,16,0,0,0.03675885001818339,0.05614495277404785,0.009416038214112632,0.02777529100421816,0.04627190095682939,5.416666666666667,11,1.1105256229639053,1.1369785420247354
"R=10,T=30",10,30,0.05,96009,170.10620947737942,1,1.0,0,31,31,22,0,0,0.03669281928770004,0.0538020133972168,0.016171846771612763,0.04362154199043289,0.05300355512431012,7.483870967741935,14,1.6431102088536136,1.6969900829717517
"R=10,T=30",10,30,0.05,96010,280.6814879856864,1,1.0,0,41,41,25,0,0,0.03245443832583544,0.05362296104431152,0.012748890123386845,0.035166374989785254,0.04531954565914575,6.439024390243903,14,1.8581013720249757,1.9152154159964994
"R=10,T=30",10,30,0.05,96011,183.72691367578102,1,1.0,0,33,33,22,0,0,0.03652660051981608,0.05486297607421875,0.014853599758211974,0.04541166598210111,0.05151716666472511,7.0606060606060606,14,1.7000664999359287,1.7529981670086272
"R=10,T=30",10,30,0.05,96012,226.14066378245946,1,1.0,0,34,34,23,0,0,0.038366240613600784,0.05406808853149414,0.016553663034060532,0.07827837503282353,0.055062533090890875,7.0588235294117645,15,1.8721261250902899,1.9310636659502052
"R=10,T=30",10,30,0.05,96013,216.70589574711397,1,1.0,0,34,34,26,0,0,0.04053239261402803,0.05182695388793945,0.016295357797335944,0.052539166004862636,0.05697760412380483,7.794117647058823,16,1.9372385402093641,1.9957371659693308
"R=10,T=30",10,30,0.05,96014,168.92775756791318,1,1.0,0,29,29,17,0,0,0.03400628320102034,0.05114889144897461,0.014462678199473384,0.03959000000031665,0.0486010475052071,6.793103448275862,14,1.409430377651006,1.4542160829878412
"R=10,T=30",10,30,0.05,96015,202.64935898086355,1,1.0,0,30,30,22,0,0,0.041501553853352864,0.051531076431274414,0.014745626305618013,0.0439464160008356,0.056384059672321504,7.133333333333334,14,1.691521790169645,1.7403313749819063
"R=10,T=30",10,30,0.05,96016,190.55306131772676,1,1.0,0,32,32,17,0,0,0.03185286372900009,0.05404996871948242,0.011388148468540749,0.03805908397771418,0.0433484089007834,5.75,14,1.3871490848250687,1.4276605420163833
"R=10,T=30",10,30,0.05,96017,134.12113388342414,1,1.0,0,28,28,16,0,0,0.037029845373971124,0.05800604820251465,0.009646721855720639,0.031035000050906092,0.04677602546455871,5.392857142857143,11,1.3097287130076438,1.3430170000065118
"R=10,T=30",10,30,0.05,96018,202.06806677432814,1,1.0,0,31,31,21,0,0,0.03800938206334268,0.05132484436035156,0.017506999968205608,0.05971237499034032,0.05566446510549154,7.741935483870968,17,1.7255984182702377,1.7814059170195833
"R=10,T=30",10,30,0.05,96019,172.79866308039342,1,1.0,0,29,29,17,0,0,0.034291070083092,0.05212116241455078,0.011641640762059853,0.04051837499719113,0.04604101148112837,5.931034482758621,15,1.335189332952723,1.373704124998767
"R=10,T=30",10,30,0.05,96020,224.39553060587673,1,1.0,0,40,40,26,0,0,0.03808385729789734,0.05183291435241699,0.017427547875558957,0.053763417003210634,0.05566039587720297,7.65,17,2.226415835088119,2.298258082999382
"R=10,T=30",10,30,0.05,96021,152.19541531413458,1,1.0,0,25,25,18,0,0,0.04070777893066406,0.0537259578704834,0.014113034910988063,0.035996458027511835,0.05494799987180159,7.04,14,1.3736999967950396,1.4123401660472155
"R=10,T=30",10,30,0.05,96022,185.25369974239132,1,1.0,0,30,30,17,0,0,0.035063131650288897,0.06598711013793945,0.013607423663294564,0.04059629194671288,0.04879066402985093,6.466666666666667,15,1.463719920895528,1.507421542017255
"R=10,T=30",10,30,0.05,96023,223.55289435168342,1,1.0,0,33,33,24,0,0,0.04005021759957978,0.052004098892211914,0.01890709978937538,0.04365966597106308,0.05911706706022166,8.333333333333334,15,1.950863212987315,2.015072208014317
"R=10,T=30",10,30,0.05,96024,152.8534061778894,1,1.0,0,26,26,15,0,0,0.03408233936016376,0.05849313735961914,0.013233421381580858,0.03715233301045373,0.04743516984476278,6.346153846153846,14,1.2333144159638323,1.270912625011988
"R=10,T=30",10,30,0.05,96025,190.75612439055573,1,1.0,0,36,36,19,0,0,0.0302911467022366,0.058699846267700195,0.011776844888421087,0.03671804099576548,0.04217529050139193,5.805555555555555,14,1.5183104580501094,1.564568791014608
"R=10,T=30",10,30,0.05,96026,204.84512786108672,1,1.0,0,35,35,20,0,0,0.03364881787981306,0.05838799476623535,0.008414807114084917,0.031139958009589463,0.04214787737499656,4.9714285714285715,13,1.4751757081248797,1.5121207499760203
"R=10,T=30",10,30,0.05,96027,259.6970139823744,1,1.0,0,34,34,30,0,0,0.04602895764743581,0.05349111557006836,0.017554245151319158,0.04381600004853681,0.06373271215467385,8.323529411764707,14,2.166912213258911,2.230674375023227
"R=10,T=30",10,30,0.05,96028,196.23920705980558,1,1.0,0,37,37,19,0,0,0.031784998404013144,0.05122089385986328,0.013153219699381373,0.03517262503737584,0.04505483218550531,6.351351351351352,13,1.6670287908636965,1.7191590419970453
"R=10,T=30",10,30,0.05,96029,231.20181248812645,1,1.0,0,36,36,25,0,0,0.03831311066945394,0.05086088180541992,0.016168693245466177,0.052532916015479714,0.05462405211033507,7.277777777777778,17,1.9664658759720623,2.026666167017538
"R=10,T=30",10,30,0.05,96030,188.12764836572114,1,1.0,0,30,30,19,0,0,0.03762853145599365,0.06033611297607422,0.01488051242971172,0.0389897910063155,0.052635494396478556,7.166666666666667,13,1.5790648318943568,1.6263685830053873
"R=10,T=30",10,30,0.05,96031,188.41383616469554,1,1.0,0,29,29,18,0,0,0.036789935210655475,0.056231021881103516,0.015860849210655253,0.04351016599684954,0.05279150448442469,7.310344827586207,15,1.530953630048316,1.5793829170288518
"R=10,T=30",10,30,0.05,96032,255.0473292533288,1,1.0,0,38,38,26,0,0,0.03808006487394634,0.05721902847290039,0.017877486759588418,0.05958058300893754,0.05610602833698258,7.684210526315789,18,2.1320290768053383,2.201351750001777
"R=10,T=30",10,30,0.05,96033,185.8584830297817,1,1.0,0,30,30,18,0,0,0.03477760950724284,0.05549812316894531,0.015670055529335515,0.0428347919951193,0.050579756931013735,7.233333333333333,15,1.5173927079304121,1.5675764170009643
"R=10,T=30",10,30,0.05,96034,216.84932129275816,1,1.0,0,33,33,24,0,0,0.04053306579589844,0.06032204627990723,0.015965801850666827,0.05303970800014213,0.05663522599956416,7.424242424242424,16,1.8689624579856172,1.924606207991019
"R=10,T=30",10,30,0.05,96035,165.14797807630228,1,1.0,0,30,30,15,0,0,0.029982598622639973,0.0506901741027832,0.010835272292994583,0.031744458014145494,0.04092710845870897,5.6,13,1.2278132537612692,1.2653879999998026
"R=10,T=30",10,30,0.05,96036,126.4533385056964,1,1.0,0,23,23,14,0,0,0.03436863940695058,0.05057787895202637,0.009260108610918827,0.02702754200436175,0.04372261956070914,5.3478260869565215,11,1.0056202498963103,1.0316951669519767
"R=10,T=30",10,30,0.05,96037,194.66660932660332,1,1.0,0,27,27,18,0,0,0.03822766409979926,0.05636787414550781,0.016949086404767714,0.042563125025480986,0.05531756629891418,7.666666666666667,15,1.4935742900706828,1.5410889589693397
"R=10,T=30",10,30,0.05,96038,191.6281944522379,1,1.0,0,29,29,18,0,0,0.034099348660173084,0.05154895782470703,0.008933719755391237,0.027868000033777207,0.04312578006045379,5.275862068965517,11,1.25064762175316,1.2826059159706347
"R=10,T=30",10,30,0.05,96039,215.98945425312166,1,1.0,0,33,33,27,0,0,0.042819218202070755,0.05493903160095215,0.014002710947710457,0.03581899998243898,0.056951253909518884,7.2727272727272725,12,1.8793913790141232,1.9315544159617275
"R=10,T=30",10,30,0.05,96040,144.46774145146784,1,1.0,0,28,28,13,0,0,0.028143227100372314,0.05096697807312012,0.011909659330350613,0.04288108297623694,0.04016220682283996,5.857142857142857,14,1.124541791039519,1.1617004160070792
"R=10,T=30",10,30,0.05,96041,200.78155068943232,1,1.0,0,33,33,22,0,0,0.03583347436153528,0.06319689750671387,0.015056662935283825,0.040658416983205825,0.0510319078386987,7.090909090909091,15,1.6840529586770572,1.7374087079660967
"R=10,T=30",10,30,0.05,96042,181.086653236392,1,1.0,0,30,30,22,0,0,0.03817741870880127,0.050668954849243164,0.01318243476562202,0.02953749999869615,0.051483356966249026,6.8,12,1.5445007089874707,1.589188040990848
"R=10,T=30",10,30,0.05,96043,145.9098500154451,1,1.0,0,26,26,16,0,0,0.03251912043644832,0.054512977600097656,0.011294125082293669,0.03076216601766646,0.0439227180792771,5.923076923076923,13,1.1419906700612046,1.1750288750045002
"R=10,T=30",10,30,0.05,96044,166.90686489621345,1,1.0,0,28,28,16,0,0,0.034647422177450996,0.061144113540649414,0.011819117604838019,0.043843874998856336,0.04657091364788357,5.892857142857143,14,1.30398558214074,1.3410927910008468
"R=10,T=30",10,30,0.05,96045,245.13018279404463,1,1.0,0,42,42,24,0,0,0.03393894717806861,0.05647110939025879,0.016173133930091614,0.04387091699754819,0.050250762907255976,7.357142857142857,14,2.110532042104751,2.181399583001621
"R=10,T=30",10,30,0.05,96046,161.45534591064165,1,1.0,0,29,29,21,0,0,0.03843739114958664,0.05677080154418945,0.01614974710311548,0.0592334580142051,0.05472515226976047,7.172413793103448,17,1.5870294158230536,1.6362484580022283
"R=10,T=30",10,30,0.05,96047,127.32177234807409,1,1.0,0,26,26,13,0,0,0.03181290626525879,0.05324697494506836,0.013904305992092794,0.03821791696827859,0.045837940574319176,6.6923076923076925,14,1.1917864549322985,1.2308567499858327
"R=10,T=30",10,30,0.05,96048,217.32198520288904,1,1.0,0,34,34,26,0,0,0.04197071580325856,0.05902886390686035,0.014504946062943953,0.042419750010594726,0.056608317358254945,7.205882352941177,15,1.9246827901806682,1.978671166987624
"R=10,T=30",10,30,0.05,96049,173.04353530906002,1,1.0,0,29,29,19,0,0,0.03569818365162816,0.055338144302368164,0.015450633518349636,0.04289833299117163,0.05128268965776881,7.275862068965517,14,1.4871980000752956,1.5343956249998882
"R=10,T=30",10,30,0.05,96050,153.16927371979074,1,1.0,0,30,30,15,0,0,0.031098556518554688,0.05195808410644531,0.010205669367375473,0.032641249999869615,0.04139842213868784,5.3,13,1.2419526641606353,1.2761984579847194
"R=10,T=30",10,30,0.05,96051,227.66798785803667,1,1.0,0,37,37,27,0,0,0.039419161306845175,0.052738189697265625,0.014530720787022161,0.04856770799960941,0.05407536717138026,7.081081081081081,15,2.00078858534107,2.059619917010423
"R=10,T=30",10,30,0.05,96052,180.62812136128775,1,1.0,0,29,29,20,0,0,0.03947447086202687,0.05850505828857422,0.018006811865830218,0.05365795799298212,0.05763392118287498,7.931034482758621,17,1.6713837143033743,1.7252653749892488
"R=10,T=30",10,30,0.05,96053,187.57657007614324,1,1.0,0,38,38,19,0,0,0.030170497141386334,0.06538796424865723,0.013578608578475388,0.048233334033284336,0.043867744424221054,6.131578947368421,15,1.6669742881204002,1.7210108329891227
"R=10,T=30",10,30,0.05,96054,178.26020109954035,1,1.0,0,32,32,17,0,0,0.031231291592121124,0.05059814453125,0.009741691497765714,0.03218412498245016,0.04106768112978898,5.34375,12,1.3141657961532474,1.3507393750478514
"R=10,T=30",10,30,0.05,96055,190.48921672062772,1,1.0,0,34,34,21,0,0,0.034841053626116586,0.05712699890136719,0.017562480388305095,0.05307312496006489,0.05255384551470771,7.617647058823529,16,1.786830747500062,1.847598750027828
