seed,budget_seconds,policy_cost,milp_oracle_cost_from_cache,gap_closure,serve_all_flag,n_window_solves,n_solves_hit_time_limit,n_solves_no_incumbent,n_solves_fallback_fired,measured_total_solve_seconds,measured_mean_per_decision_seconds,n_decisions,measured_total_build_seconds,mean_build_s,mean_solve_s,instance_wall_clock_seconds
90000,1.0,297.6759771154395,,,1,59,47,32,32,49.30865257990081,0.8357398742356069,70,7.4393968741060235,0.12609147244247498,0.8357398742356069,57.0144056249992
90001,1.0,349.3490737281801,,,1,67,49,31,31,51.39296649687458,0.7670592014458892,83,7.290837544947863,0.10881847082011735,0.7670592014458892,58.94891875004396
90002,1.0,328.1101227332916,,,1,68,50,34,34,51.35610221180832,0.7552367972324753,81,8.426571084128227,0.12392016300188569,0.7552367972324753,60.07817129098112
90003,1.0,261.64802617745994,,,1,50,36,26,26,39.868940581800416,0.7973788116360083,64,5.544151835201774,0.11088303670403547,0.7973788116360083,45.61314400000265
90004,1.0,225.84583802417635,,,1,45,35,20,20,35.875295750796795,0.797228794462151,56,4.860247960023116,0.10800551022273591,0.797228794462151,40.92439879197627
90005,1.0,364.3517056446936,,,1,69,53,36,36,56.92183212708915,0.8249540887983934,86,9.51792258390924,0.13794090701317738,0.8249540887983934,66.77315858297516
90006,1.0,311.2541401122958,,,1,58,39,17,17,40.85863662412157,0.7044592521400271,74,4.484097669890616,0.07731202879121751,0.7044592521400271,45.544066666974686
90007,1.0,358.4406853667139,,,1,68,55,33,33,56.52150345308473,0.8311985801924225,84,9.025402047089301,0.13272650069248973,0.8311985801924225,65.87107475002995
90008,1.0,312.2820599986941,,,1,61,46,30,30,48.0493487517233,0.7876942418315295,74,6.6138281702878885,0.1084234126276703,0.7876942418315295,54.91787025000667
90009,1.0,359.72526347853915,,,1,65,53,28,28,53.87647541734623,0.8288688525745573,85,9.724325544084422,0.14960500837052956,0.8288688525745573,63.95276349998312
90010,1.0,258.7492245804747,,,1,52,40,24,24,43.25791304395534,0.8318829431529873,64,5.835027160937898,0.11221206078726727,0.8318829431529873,49.330138958001044
90011,1.0,345.5589165328169,,,1,60,45,28,28,48.34028758108616,0.8056714596847693,80,7.4647190408431925,0.1244119840140532,0.8056714596847693,56.08147595799528
90012,1.0,257.0812330607232,,,1,54,41,27,27,42.73284475383116,0.7913489769227993,65,6.7929087060038,0.12579460566673703,0.7913489769227993,49.78222516702954
90013,1.0,212.53004548105974,,,1,44,32,22,22,34.47984238085337,0.7836327813830312,55,4.989839290850796,0.11340543842842718,0.7836327813830312,39.65687754098326
90014,1.0,366.6979358938216,,,1,72,56,35,35,58.5495890849852,0.8131887372914611,86,8.232275126094464,0.11433715452908978,0.8131887372914611,67.08464012498735
90015,1.0,243.93309866129908,,,1,51,37,23,23,38.21376016893191,0.7492894150770963,61,4.31415507895872,0.08459127605801411,0.7492894150770963,42.69783954200102
90016,1.0,300.83863528849776,,,1,57,45,25,25,47.65680412721122,0.8360842829335301,70,4.948880418785848,0.08682246348747101,0.8360842829335301,52.80024599999888
90017,1.0,356.58723235478743,,,1,67,51,32,32,53.72176757710986,0.8018174265240278,83,5.986825502070133,0.08935560450850945,0.8018174265240278,59.944772791990545
90018,1.0,328.8344473685965,,,1,59,39,27,27,44.87536079226993,0.7605993354622022,79,5.899218880105764,0.0999867606797587,0.7605993354622022,50.990945625002496
90019,1.0,311.8002402655105,,,1,65,54,33,33,55.59086462511914,0.855244071155679,79,6.830468333850149,0.10508412821307922,0.855244071155679,62.677330082980916
90020,1.0,307.42050241670586,,,1,62,44,24,24,47.25667784007965,0.7622044812916072,75,5.083919785975013,0.08199870622540344,0.7622044812916072,52.55934354197234
90021,1.0,293.6942159815024,,,1,57,42,21,21,44.83246387593681,0.7865344539638037,70,4.726699584105518,0.08292455410711434,0.7865344539638037,49.75192945898743
90022,1.0,265.9285624573732,,,1,52,40,26,26,44.58878875512164,0.8574767068292624,65,4.286669918743428,0.08243595997583515,0.8574767068292624,49.04650145902997
90023,1.0,287.41771980091846,,,1,55,39,28,28,42.95221425173804,0.7809493500316007,70,4.630727168289013,0.0841950394234366,0.7809493500316007,47.75690708402544
90024,1.0,355.31056850977814,,,1,70,56,44,44,57.20772991597187,0.8172532845138838,85,7.365691462706309,0.10522416375294727,0.8172532845138838,64.82590958295623
90025,1.0,272.6740398806002,,,1,54,37,25,25,40.25396354182158,0.7454437692929922,67,4.528989586222451,0.08387017752263798,0.7454437692929922,44.95730375003768
90026,1.0,283.32183330159154,,,1,57,44,31,31,45.92534700210672,0.8057078421422231,69,4.831316539959516,0.08475993929753538,0.8057078421422231,50.940502624958754
90027,1.0,179.14386787365123,,,1,39,27,17,17,28.49799512710888,0.7307178237720225,48,2.8307931682211347,0.07258444021079832,0.7307178237720225,31.446146000002045
90028,1.0,225.09643818218154,,,1,46,34,20,20,35.830786670267116,0.7789301450058069,57,3.2059202877571806,0.06969391929906914,0.7789301450058069,39.17436616704799
90029,1.0,233.9702992440633,,,1,45,29,18,18,31.73092408379307,0.7051316463065127,60,3.345811411330942,0.07435136469624316,0.7051316463065127,35.21065595798427
90030,1.0,429.46081820601603,,,1,80,62,41,41,66.59597166569438,0.8324496458211798,100,8.120774290990084,0.10150967863737606,0.8324496458211798,75.01146316697123
90031,1.0,310.12288116178945,,,1,60,47,22,22,49.632838587858714,0.8272139764643119,73,5.577896828996018,0.09296494714993363,0.8272139764643119,55.46002704196144
90032,1.0,325.06828239310767,,,1,64,47,34,34,50.18370904069161,0.7841204537608064,78,5.797529458242934,0.09058639778504585,0.7841204537608064,56.194418582948856
90033,1.0,339.0965767411933,,,1,64,50,32,32,53.9252474149107,0.8425819908579797,80,5.4307305390248075,0.08485516467226262,0.8425819908579797,59.57330370799173
90034,1.0,177.97865270863343,,,1,39,26,14,14,27.886167749005836,0.715029942282201,50,2.6809635480167344,0.06874265507735217,0.715029942282201,30.680952750029974
90035,1.0,271.0048292717347,,,1,53,39,23,23,39.8124783373205,0.7511788365532169,67,4.3834127959562466,0.08270590181049522,0.7511788365532169,44.369764834002126
90036,1.0,271.8529372482258,,,1,50,35,19,19,37.90432962978957,0.7580865925957915,64,3.4974910383461975,0.06994982076692395,0.7580865925957915,41.54899804195156
90037,1.0,275.50681806921415,,,1,56,40,28,28,44.052595039014705,0.7866534828395483,69,4.530211457982659,0.08089663317826178,0.7866534828395483,48.75680758303497
90038,1.0,389.1675412249904,,,1,77,55,33,33,59.122903162031434,0.7678299111952135,90,6.745073125115596,0.08759835227422852,0.7678299111952135,66.15361858299002
90039,1.0,278.61372356614913,,,1,55,38,22,22,40.58505195804173,0.7379100356007587,68,3.979012458003126,0.07234568105460229,0.7379100356007587,44.728986333007924
90040,1.0,310.4469765297282,,,1,62,49,33,33,51.50039571005618,0.8306515437105836,76,6.014142162865028,0.09700229294943594,0.8306515437105836,57.74291999998968
90041,1.0,,,,0,86,71,50,50,75.30032213125378,0.8755851410610904,101,9.157508535077795,0.10648265738462553,0.8755851410610904,84.78662795800483
90042,1.0,245.2801460201066,,,1,52,34,20,20,35.971447834104765,0.6917586121943224,63,3.651693419087678,0.07022487344399381,0.6917586121943224,39.78077987500001
90043,1.0,332.2724228811122,,,1,66,46,33,33,52.36086345970398,0.7933464160561209,81,5.610690959321801,0.08501046908063334,0.7933464160561209,58.184644166962244
90044,1.0,320.24614522653843,,,1,59,46,24,24,47.55042953690281,0.8059394836763188,73,3.9934237528359517,0.06768514835315173,0.8059394836763188,51.71298074995866
90045,1.0,341.90836380644987,,,1,68,52,40,40,55.26054174883757,0.8126550257181995,84,6.973468958050944,0.10255101408898447,0.8126550257181995,62.47645629197359
90046,1.0,201.7005388693969,,,1,43,31,19,19,31.76462341687875,0.7387121724855523,53,2.4349460852099583,0.05662665314441764,0.7387121724855523,34.30722383299144
