seed,R,T,policy_cost,hungarian_distance_only_cost,hungarian_kappa_cost,milp_objective,serve_all_flag,n_unserved_tasks,term_travel_time,term_makespan,term_balance,n_decisions,n_commitments,cost_is_from_failed_rollout,greedy_served_all,greedy_n_unserved,kappa_served_all,kappa_n_unserved,greedy_term_travel_time,greedy_term_makespan,greedy_term_balance,kappa_term_travel_time,kappa_term_makespan,kappa_term_balance,expert_replay_cost,epoch_count,simulator_failure
96000,10,30,172.63829330260438,196.57727905629912,195.98186094818126,,1,0,1429.3910966088035,215.485857174621,42.94698047114068,44,30,0,1,0,1,0,1452.6320674263475,234.16249324145753,68.76159437464358,1452.7828609995145,233.30216350136465,68.18913696322318,,44,0
96001,10,30,187.26913498540708,253.59175034411783,253.63701963820904,,1,0,1635.7407464188398,235.4963282139954,38.191572049979726,48,30,0,1,0,1,0,1700.8724803311536,269.71184296397126,115.67734874983921,1706.1954849568367,269.66934138178675,115.27014958091326,,48,0
96002,10,30,246.9062192198457,289.28988474390326,285.76861349940344,,1,0,2185.1142825353886,302.28249915065595,50.57730958508853,61,30,0,1,0,1,0,2181.76025455595,318.1898118920326,106.25964054124884,2180.093072629706,314.448208270306,102.64465819048354,,61,0
96003,10,30,143.06814752331053,213.74393645115515,225.0584248843702,,1,0,1276.0253428590734,191.10929578373245,22.910730874728642,39,30,0,1,0,1,0,1370.5014428719505,231.38780335098272,101.87537587458183,1396.5841301685114,236.38780335098272,114.01323840498253,,39,0
96004,10,30,182.66414409079366,219.19598278382148,237.57913822358728,,1,0,1696.0490060770057,246.44233535201047,22.295693304057806,50,30,0,1,0,1,0,1667.6680917779279,264.96925506405825,70.96324188543613,1684.265746193422,269.5880835894522,94.24865433785448,,50,0
96005,10,30,208.08597896334965,243.4451172545887,242.8480181438938,,1,0,1748.269360983748,251.51267868520424,52.27348215358637,51,30,0,1,0,1,0,1716.1351562850618,261.6732589386277,102.48106289410958,1716.1733819132482,261.6732589386277,101.6202817265426,,51,0
96006,10,30,160.451781852792,193.6299946398119,189.43313537073024,,1,0,1301.7129592469896,209.17335863132365,39.30063883555971,42,30,0,1,0,1,0,1282.684986555746,219.2411069351155,85.2102563577461,1283.874674091385,221.0309474340955,78.45957995177733,,42,0
96007,10,30,195.60277194748943,217.83631039386435,221.0565023489139,,1,0,1626.349471972409,242.30926486576675,48.66984762101379,49,30,0,1,0,1,0,1603.7915807728368,263.72169098995283,75.28259181513846,1618.3099131954184,263.72169098995283,78.57817570563537,,49,0
96008,10,30,132.4775645712425,149.6595801855524,149.6595801855524,,1,0,1087.0500423411363,178.83143663422763,29.21564733556974,36,30,0,1,0,1,0,1067.7380697196722,181.95809096806738,54.57446508293856,1067.7380697196722,181.95809096806738,54.57446508293856,,36,0
96009,10,30,148.68873718294262,202.49845969544162,208.49400084602368,,1,0,1396.9306970634045,206.78822318606302,14.524674601558985,42,30,0,1,0,1,0,1385.8727292579672,227.59852083073983,85.62848750394498,1409.8367331710685,229.79844284143576,91.28748650344625,,42,0
96010,10,30,215.48389899614276,290.9102197005217,290.94191045136085,,1,0,2069.0004320223015,277.03309815435983,24.775354686154515,56,30,0,1,0,1,0,2108.640611744444,312.22835268903333,117.32584889816283,2108.0072530314283,310.7104457561409,117.95187873788404,,56,0
96011,10,30,179.55181894093738,197.02777842601495,198.25638059608514,,1,0,1453.3583307037968,217.33871739306187,50.04317134852732,44,30,0,1,0,1,0,1478.3023669303702,228.60261880486104,68.97488824572099,1472.253873006355,227.6434019276063,71.62228442690642,,44,0
96012,10,30,173.02016412053953,229.28210778532292,251.54521819105355,,1,0,1597.2060405346176,229.51018061244955,23.31887728301359,46,30,0,1,0,1,0,1546.7270266337093,260.9720358317758,97.88155347637587,1596.3736921900254,281.2962727073458,118.30777861209964,,46,0
96013,10,30,206.36522317372555,252.78719741154703,242.54685310258145,,1,0,1756.955099262995,252.3192703799612,48.730828878044605,51,30,0,1,0,1,0,1742.4516224055105,274.0264791172135,109.23399766261042,1743.8399678365927,265.65150523634816,97.28789116398309,,51,0
96014,10,30,163.68437031892677,186.261249820841,186.90301401020602,,1,0,1353.188802551795,221.7312450172706,34.91039632625399,45,30,0,1,0,1,0,1277.7705932359563,217.7912128030409,75.57922498426613,1289.693432388901,213.98522865263377,76.7205808128233,,45,0
96015,10,30,177.73029358966653,223.19749136339377,220.5651841528009,,1,0,1569.375779893883,233.04952642113085,31.408155024607282,47,30,0,1,0,1,0,1612.363651814711,245.66478255978427,88.41279524043131,1613.0559404688834,245.66478255978427,84.57014484866724,,47,0
96016,10,30,159.3948579637104,198.32693178879197,198.77367569459804,,1,0,1344.6384385050865,214.61184819615124,31.984879014356522,43,30,0,1,0,1,0,1298.470003282444,218.156951842828,90.88349680946175,1294.9697202413556,220.94974556894726,90.88349680946175,,43,0
96017,10,30,128.53727986389563,150.9819008661243,161.07348788366397,,1,0,1032.5536023503266,181.79772363862398,27.521207847290427,37,30,0,1,0,1,0,918.3645125697689,171.76268393275387,73.6444936229083,963.951423685367,176.91948801125267,82.18878531199957,,37,0
96018,10,30,174.89214638108945,222.36452613721218,221.4413380133318,,1,0,1545.1352714413144,230.7654096503963,30.33666095637139,47,30,0,1,0,1,0,1544.512979758309,265.4989891846319,86.59352723637207,1545.5219918193488,265.4989891846319,85.17577821674735,,47,0
96019,10,30,141.71025830928394,196.00910010651427,195.67105616106156,,1,0,1165.328167009395,200.06449125858884,28.001994353159887,41,30,0,1,0,1,0,1237.5947698208056,227.57954133129275,89.87902262409898,1251.4366014483403,227.57954133129275,88.1277396088417,,41,0
96020,10,30,202.7896077596185,244.65788991708487,241.83905463146715,,1,0,1811.9853548489484,254.4916599968741,37.816282251959876,51,30,0,1,0,1,0,1817.0840008096773,267.698392266984,92.91538348870876,1817.8195857706626,270.0549319960307,87.98962573614898,,51,0
96021,10,30,148.04840566160462,204.33731229645775,187.20998454514555,,1,0,1289.0989413225527,200.16943083271508,25.746121443895078,41,30,0,1,0,1,0,1281.147158007013,220.42985595822276,100.31465739070953,1264.4892013063184,216.7161612774663,78.52618370078483,,41,0
96022,10,30,174.34003058714572,223.53817771790256,223.5390433845219,,1,0,1456.0408489258548,227.23420978386704,38.90806174357135,46,30,0,1,0,1,0,1480.5160692515199,247.54112602797582,100.31434613793559,1480.5296589943669,247.54112602797582,100.31434613793559,,46,0
96023,10,30,221.9676703124348,218.16663302615547,223.80067565221665,,1,0,1941.3795321258647,266.61956607050973,49.341596801592175,54,30,0,1,0,1,0,1784.8691096628495,253.5986090563326,62.681298332984056,1788.109011604645,259.3955340508523,68.47822332750377,,54,0
96024,10,30,144.94328501778733,139.91848683984733,142.77258425155054,,1,0,1095.356542864173,193.90458036875566,41.164041442802414,39,30,0,1,0,1,0,1060.2473770789265,182.53901218986653,41.0737599379608,1064.0280008597215,185.5369052217267,43.79361195206923,,39,0
96025,10,30,187.24508782151656,219.7676948407306,203.03487620167925,,1,0,1562.6574894129542,231.07453254241284,46.3634355236766,47,30,0,1,0,1,0,1490.3317710972572,229.3228593025571,100.27557697212075,1530.6326163142269,238.83595593815727,69.29033210121014,,47,0
96026,10,30,179.69457268979977,229.46932783850843,229.49170599634786,,1,0,1552.282890000889,228.62327729531484,37.315564538875236,46,30,0,1,0,1,0,1618.0272610006496,248.83209571443433,95.80912384845038,1618.3785664612374,248.83209571443433,95.80912384845038,,46,0
96027,10,30,213.97094346758658,281.59599661465927,281.5821218991618,,1,0,1926.025701261986,256.6272666158375,42.70479219342457,52,30,0,1,0,1,0,1950.8910045838895,304.8524403193206,120.9197766462203,1950.6731911537872,304.8524403193206,120.9197766462203,,52,0
96028,10,30,194.90158021875195,225.28450632989694,224.305623591376,,1,0,1597.5783447129538,244.49165200450614,49.54306031565858,49,30,0,1,0,1,0,1597.6931171347817,253.6798496301654,89.99142401593349,1599.191590247656,253.6798496301654,88.4489466637281,,49,0
